d_val	e_val	j_val	BGB_DEC_init_LnL	BD_LnL	classe_DEC_ML	classe_DEC_ML_minus_BD
d_0.1_e_0.05_j_2.99	0.1	0.05	2.99	-6.80604960720398	-3.2163953243245	-15.7808522790968	-7.92958749186976
d_0.1_e_0.1_j_0	0.1	0.1	0	-2.91223905379437	-3.2163953243245	-11.3027473197168	-3.02023954279524
d_0.1_e_0.1_j_0.01	0.1	0.1	0.01	-2.88896390008132	-3.2163953243245	-11.2757962715076	-3.04047428019331
d_0.1_e_0.1_j_0.05	0.1	0.1	0.05	-2.83844107748407	-3.2163953243245	-11.1999321591803	-3.12199857658183
d_0.1_e_0.1_j_0.1	0.1	0.1	0.1	-2.83518901731667	-3.2163953243245	-11.1551283341553	-3.22456397110413
d_0.1_e_0.1_j_0.3	0.1	0.1	0.3	-3.06753371685344	-3.2163953243245	-11.230535723892	-3.6304819693376
d_0.1_e_0.1_j_1	0.1	0.1	1	-4.27228221711554	-3.2163953243245	-12.2108068282262	-4.91285399991437
d_0.1_e_0.1_j_2.99	0.1	0.1	2.99	-6.49317579203184	-3.2163953243245	-15.4682233894417	-7.53678960817979
d_0.1_e_0.3_j_0	0.1	0.3	0	-4.07884438750143	-3.2163953243245	-12.3908734094875	-4.18939623705826
d_0.1_e_0.3_j_0.01	0.1	0.3	0.01	-4.07915286613231	-3.2163953243245	-12.3877191831151	-4.20924839770605
d_0.1_e_0.3_j_0.05	0.1	0.3	0.05	-4.09748114898175	-3.2163953243245	-12.3867710022357	-4.28893718513401
d_0.1_e_0.3_j_0.1	0.1	0.3	0.1	-4.14617547224024	-3.2163953243245	-12.4056821919849	-4.3885887148656
d_0.1_e_0.3_j_0.3	0.1	0.3	0.3	-4.45064035585527	-3.2163953243245	-12.598372667504	-4.77732602884966
d_0.1_e_0.3_j_1	0.1	0.3	1	-5.55653370280533	-3.2163953243245	-13.6073970189588	-5.94439216048283
d_0.1_e_0.3_j_2.99	0.1	0.3	2.99	-7.02130116666358	-3.2163953243245	-15.9967239964373	-7.9019926284609
d_0.1_e_1_j_0	0.1	1	0	-9.62446290318496	-3.2163953243245	-17.8962176469585	-9.68352687402133
d_0.1_e_1_j_0.01	0.1	1	0.01	-9.63796796636894	-3.2163953243245	-17.904797688026	-9.70231991268156
d_0.1_e_1_j_0.05	0.1	1	0.05	-9.69713746403033	-3.2163953243245	-17.9434878295108	-9.7776867648196
d_0.1_e_1_j_0.1	0.1	1	0.1	-9.77849267083234	-3.2163953243245	-17.9995239040516	-9.8717368319386
d_0.1_e_1_j_0.3	0.1	1	0.3	-10.1219560300137	-3.2163953243245	-18.2673692840239	-10.235699990287
d_0.1_e_1_j_1	0.1	1	1	-11.0685601293594	-3.2163953243245	-19.2528279961839	-11.2822182214134
d_0.1_e_1_j_2.99	0.1	1	2.99	-12.0129249689009	-3.2163953243245	-20.988763475063	-12.7743797670939
d_0.1_e_3_j_0	0.1	3	0	-27.1626809431259	-3.2163953243245	-35.4205412361869	-27.2116446360175
d_0.1_e_3_j_0.01	0.1	3	0.01	-27.1797491959174	-3.2163953243245	-35.4318546641217	-27.229188856064
d_0.1_e_3_j_0.05	0.1	3	0.05	-27.2498456854971	-3.2163953243245	-35.4799293883865	-27.2997530746873
d_0.1_e_3_j_0.1	0.1	3	0.1	-27.3392970605097	-3.2163953243245	-35.5448424431756	-27.3881462837265
d_0.1_e_3_j_0.3	0.1	3	0.3	-27.6830776250488	-3.2163953243245	-35.8283938058441	-27.7314891256437
d_0.1_e_3_j_1	0.1	3	1	-28.5162104798216	-3.2163953243245	-36.7679450204294	-28.7030074063059
d_0.1_e_3_j_2.99	0.1	3	2.99	-29.2227492293548	-3.2163953243245	-38.1988565865114	-29.9473391264745
d_0.1_e_5_j_0	0.1	5	0	-45.0426477941562	-3.2163953243245	-53.2978787361457	-45.1013414578752
d_0.1_e_5_j_0.01	0.1	5	0.01	-45.060238131319	-3.2163953243245	-53.3094897494834	-45.1183447387681
d_0.1_e_5_j_0.05	0.1	5	0.05	-45.131822216758	-3.2163953243245	-53.3585461572889	-45.1868379884166
d_0.1_e_5_j_0.1	0.1	5	0.1	-45.2221004002479	-3.2163953243245	-53.4242859564158	-45.2728122372699
d_0.1_e_5_j_0.3	0.1	5	0.3	-45.5629356920385	-3.2163953243245	-53.7081342541343	-45.6075974739477
